cnpj,cnpj_basico,matriz_filial,nome_fantasia,razao_social,situacao_cadastral,situacao,data_situacao,data_inicio,ano_inicio,cnae_principal,cnae_descricao,cnae_secundaria,logradouro,numero,bairro,cep,municipio_codigo,municipio,uf,motivo_situacao,natureza_juridica,natureza_juridica_desc,capital_social,porte_codigo,porte,mei,optante_simples
02451303000156,02451303,Matriz,,02.451.303 DEUSDEDT GUIMARAES DA SILVA,02,Ativa,2005-11-03,1998-03-02,1998,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento","4729699,4930201,5611203,5320201",ALCYR FILIZOLA,495,VILA BRITO,12603260,6645,LORENA,SP,SEM MOTIVO,2135,Empresário (Individual),"5000,00",01,Microempresa,MEI,Sim
02451628000139,02451628,Matriz,LANCHERIA PARADOURO,JOEL DORNELLES LOPES,02,Ativa,2005-11-03,1998-03-27,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares",,CORONEL SABINO ARAUJO,2125,CENTRO,97590000,8831,ROSARIO DO SUL,RS,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
02451917000138,02451917,Matriz,SABOR BRASIL,LARESSA SATTIM VILAS BOAS,02,Ativa,2005-11-03,1998-03-26,1998,5611201,Restaurantes e similares,4721102,SAO JOSE,234,VILA JULIA,13844000,6715,MOGI GUACU,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
02451917000219,02451917,Filial,,LARESSA SATTIM VILAS BOAS,02,Ativa,2009-10-15,2009-10-15,2009,5611201,Restaurantes e similares,,SAO JOSE,226,CENTRO,13844000,6715,MOGI GUACU,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
02451999000110,02451999,Matriz,,LANGARO & LANGARO RESTAURANTES LTDA,02,Ativa,2000-12-23,1998-03-24,1998,5611201,Restaurantes e similares,4723700,INDEPENDENCIA,270,CENTRO,99010040,8785,PASSO FUNDO,RS,SEM MOTIVO,2062,Sociedade Empresária Limitada,"4000,00",01,Microempresa,Não MEI,Sim
02452145000159,02452145,Matriz,BAR BEIRALINHA,DORIVAL BONOME,02,Ativa,2003-04-05,1998-03-18,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares",,RAU SERGIPE,130,JARDIM VIENENSE,17120001,6113,AGUDOS,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
02452396000133,02452396,Matriz,DI PAULA LANCHONETE E RESTAURANTE,ANA PAULA CHAGAS OLIVEIRA,02,Ativa,2005-11-03,1998-04-03,1998,5611201,Restaurantes e similares,,CARNEIRO LEAO,712,MOOCA,03102050,7107,SAO PAULO,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
02452409000174,02452409,Matriz,BALANGANDA,SIMONE JORGE DA LUZ BOSA LANCHONETE LTDA,02,Ativa,2005-11-03,1998-03-31,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares",,MADRE BENVENUTA,687,SANTA MONICA,88035000,8105,FLORIANOPOLIS,SC,SEM MOTIVO,2062,Sociedade Empresária Limitada,"93700,00",01,Microempresa,Não MEI,Não
02452687000121,02452687,Matriz,LANCHONETE PASSARELA,CRISNATHALY LANCHONETE LTDA,02,Ativa,2005-11-03,1998-02-13,1998,5611201,Restaurantes e similares,5611203,MARECHAL FLORIANO PEIXOTO,6635,BOQUEIRAO,81650000,7535,CURITIBA,PR,SEM MOTIVO,2062,Sociedade Empresária Limitada,"20000,00",01,Microempresa,Não MEI,Sim
02452750000120,02452750,Matriz,CANTINA D'AROLDO,COMERCIAL A.MOREIRA LTDA,02,Ativa,2005-11-03,1998-03-30,1998,5611201,Restaurantes e similares,,ABILIO MACHADO,1044,INCONFIDENCIA,30820272,4123,BELO HORIZONTE,MG,SEM MOTIVO,2062,Sociedade Empresária Limitada,"5000,00",01,Microempresa,Não MEI,Sim
