cnpj,cnpj_basico,matriz_filial,nome_fantasia,razao_social,situacao_cadastral,situacao,data_situacao,data_inicio,ano_inicio,cnae_principal,cnae_descricao,cnae_secundaria,logradouro,numero,bairro,cep,municipio_codigo,municipio,uf,motivo_situacao,natureza_juridica,natureza_juridica_desc,capital_social,porte_codigo,porte,mei,optante_simples
00000253000165,00000253,Matriz,,FEIJAO COM ARROZ RESTAURANTE E LANCHONETE LTDA,02,Ativa,2022-05-30,1994-08-02,1994,5611201,Restaurantes e similares,5611203,DOS AICAS,1501,INDIANOPOLIS,04086003,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"93700,00",01,Microempresa,Não MEI,Não
00000837000130,00000837,Matriz,,MARCIO RICARDO DA SILVA NOVA EUROPA,02,Ativa,2023-01-27,1994-05-05,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,AURELIANO R DA SILVA,94,JARDIM EUROPA,14920000,6759,NOVA EUROPA,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
00000888000162,00000888,Matriz,,ADOLFINA MARIA NOVAIS SCHMIDT,02,Ativa,2005-11-03,1994-05-06,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,PRESIDENTE CASTELO BRANCO,122,CANTO DO FORTE,11700800,6921,PRAIA GRANDE,SP,SEM MOTIVO,2135,Empresário (Individual),"30000,00",01,Microempresa,Não MEI,Sim
00000996000135,00000996,Matriz,,LL LANCHONETE LTDA,02,Ativa,2005-11-03,1994-05-05,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,VOLUNTARIOS DA PATRIA,512,SANTANA,02010000,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"800,00",05,Demais,Não MEI,Sim
00001091000180,00001091,Matriz,LANCHONETE SPACO 760,SILVIO ROBERTO MARQUES,02,Ativa,2006-12-01,1994-05-05,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,CUIABA,760,CENTRO,19280000,7187,TEODORO SAMPAIO,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
00001128000170,00001128,Matriz,,R.E. RESTAURANTE LTDA,02,Ativa,2004-09-04,1994-05-06,1994,5611201,Restaurantes e similares,,NACOES UNIDAS,26 19,JARDIM PANORAMA,17053460,6219,BAURU,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"3000,00",01,Microempresa,Não MEI,Sim
00001142000173,00001142,Matriz,,SERGIO INACIO BATISTA & CIA LTDA,02,Ativa,2005-02-12,1994-05-05,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",4712100,SP 50,SN,CASSUNUNGA,12450000,7065,SANTO ANTONIO DO PINHAL,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"5600,00",01,Microempresa,Não MEI,Sim
00001340000137,00001340,Matriz,,LANCHONETE AQUI AGORA LTDA,02,Ativa,2005-11-03,1994-05-06,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,DAS OLARIAS,36,CANINDE,03030020,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"10000,00",01,Microempresa,Não MEI,Sim
00001592000166,00001592,Matriz,BAR E LANCHES COPA 70,BAR E LANCHES COPA 70 SANTO ANDRE LTDA,02,Ativa,2005-04-30,1994-05-09,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,LUCINDA FERREIRA,55,VILA LUCINDA,09250680,7057,SANTO ANDRE,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"10000,00",01,Microempresa,Não MEI,Sim
00001690000101,00001690,Matriz,,JOAQUIM BERNARDO SIMOES,02,Ativa,2005-11-03,1994-05-06,1994,5611201,Restaurantes e similares,,PADRE ANTONIO VAN ESS,1667,DA RAIA,13631301,6887,PIRASSUNUNGA,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
00001865000172,00001865,Matriz,,MANUEL FREITAS ALMEIDA LANCHONETE,02,Ativa,2005-11-03,1994-05-09,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,BOIPEVA,22,CID A E CARVALHO,08220030,7107,SAO PAULO,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
00001868000106,00001868,Matriz,,VOLMIR WITECK RIBEIRAO PRETO,02,Ativa,2004-05-22,1994-05-09,1994,5611201,Restaurantes e similares,"5611204,5611203",LAFAIETE,1350,CENTRO,14015080,6969,RIBEIRAO PRETO,SP,SEM MOTIVO,2135,Empresário (Individual),"20000,00",01,Microempresa,Não MEI,Sim
00002117000104,00002117,Matriz,BAR E MERCEARIA NOSSA SENHORA APARECIDA,NILTON YASUHUKI FUKUTI,02,Ativa,2005-11-03,1994-05-12,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,RAYMUNDO F DA SILVA,1418,JD SAO CONRADO,18076280,7145,SOROCABA,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
00002623000101,00002623,Matriz,,MANOEL MEDEIROS DO NASCIMENTO,02,Ativa,2005-11-03,1994-05-13,1994,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",4712100,JOSE UBEDA MARTINS,48,JDIM NOVO OSASCO,06142230,6789,OSASCO,SP,SEM MOTIVO,2135,Empresário (Individual),"2000,00",01,Microempresa,Não MEI,Sim
00002687000102,00002687,Matriz,BELL PAO,TABERNA COUNTRY LANCHONETE LTDA,02,Ativa,2019-01-28,1994-05-10,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",5223100,HERMINIA DE ANDRADE COUTO E SILVA,7,PARQUE SAO QUIRINO,13088340,6291,CAMPINAS,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"240000,00",03,Empresa de pequeno porte,Não MEI,Não
00002692000107,00002692,Matriz,PIZZARIA CASA VELHA,PIZZARIA FERREIRA & COSTA LTDA,02,Ativa,2005-08-13,1994-05-10,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,PARAPUA,1203,FREGUESIA DO O,02831001,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"100000,00",01,Microempresa,Não MEI,Sim
00002780000109,00002780,Matriz,,RAMIRES BIRIGUI LTDA,02,Ativa,2004-06-26,1994-05-12,1994,4721102,Padaria e confeitaria com predominância de revenda,,TUPI,250,CENTRO,16200020,6229,BIRIGUI,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"100000,00",01,Microempresa,Não MEI,Sim
00002825000145,00002825,Matriz,,PANIFICADORA E CONFEITARIA 2 CORACOES LTDA,02,Ativa,2005-02-26,1994-05-12,1994,4721102,Padaria e confeitaria com predominância de revenda,,PRESIDENTE KENNEDY,9925,MARACANA,11705755,6921,PRAIA GRANDE,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"420000,00",03,Empresa de pequeno porte,Não MEI,Sim
00003176000105,00003176,Matriz,,PAES E DOCES NOVA GERACAO 2001 LTDA,02,Ativa,2004-01-23,1994-05-13,1994,4721102,Padaria e confeitaria com predominância de revenda,,ITU,90,BAETA NEVES,09751040,7075,SAO BERNARDO DO CAMPO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"45000,00",03,Empresa de pequeno porte,Não MEI,Sim
00003240000140,00003240,Matriz,SORVETERIA ZERO GRAU,M A PASSOS & L N PINCELLI LTDA,02,Ativa,2004-07-24,1994-05-12,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,DR SALVADOR MERCADANTE,1194,CENTRO,17320000,6697,MINEIROS DO TIETE,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"0,00",01,Microempresa,Não MEI,Sim
00003251000120,00003251,Matriz,MACS BAR,MAC COMERCIO DE ALIMENTOS LTDA,02,Ativa,2005-11-03,1970-05-11,1970,5611203,"Lanchonetes, casas de chá, de sucos e similares","4761003,4789001",PLATAFORMA RODOVIARIA PLATAFORMA INFERIOR LOJA 26,S/N,PLANO PILOTO,70089970,9701,BRASILIA,DF,SEM MOTIVO,2062,Sociedade Empresária Limitada,"0,00",01,Microempresa,Não MEI,Sim
00003273000190,00003273,Matriz,,SILVIA HELENA RIGONI DO PRADO SANTOS,02,Ativa,2001-12-08,1994-05-10,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,JOSE GUADENCIO DE OLIVEIRA,215,JDM PAIVA I,14056840,6969,RIBEIRAO PRETO,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,MEI,Sim
00003289000100,00003289,Matriz,,LANCHONETE NUFER LTDA,02,Ativa,2005-11-03,1994-05-10,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,ALFREDO PUJOL,48,SANTANA,02017000,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"30000,00",01,Microempresa,Não MEI,Sim
00003315000192,00003315,Matriz,,SORVETERIA MOREIRA & MOREIRA LTDA,02,Ativa,2005-01-29,1994-05-10,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,DOS MANACAS,10,JARDIM IPE,09840330,7075,SAO BERNARDO DO CAMPO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"5000,00",01,Microempresa,Não MEI,Sim
00003573000179,00003573,Matriz,,LANCHONETE DOROTEIA LTDA,02,Ativa,2026-03-17,1994-05-13,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,MANOEL TABACOW HIDAL,13,PQUE DOROTEIA,04474280,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"0,00",01,Microempresa,Não MEI,Não
00003609000114,00003609,Matriz,BLACK LABEL SOCIETY,BLACK LABEL SOCIETY LANCHONETE LTDA,02,Ativa,2005-11-03,1994-05-16,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",5620101,FELICIANO CORREIA,S/N,JARDIM SATELITE,04815240,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"20000,00",01,Microempresa,Não MEI,Não
00004013000139,00004013,Matriz,,A.L.U. BAR E LANCHES LTDA,02,Ativa,2005-11-03,1994-05-13,1994,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento","5611201,5611203,5611205",TAGUA,27,LIBERDADE,01508010,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"100000,00",01,Microempresa,Não MEI,Sim
00004178000100,00004178,Matriz,,PAO PERFEITO PADARIA E CONFEITARIA LTDA,02,Ativa,2005-11-03,1994-05-13,1994,4721102,Padaria e confeitaria com predominância de revenda,,MAJ. MARCELINO AMANCIO DE MOURA,68,CENTRO,12260015,6813,PARAIBUNA,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"0,00",03,Empresa de pequeno porte,Não MEI,Sim
00004330000155,00004330,Matriz,SPOLETO,MCAF COMERCIO DE ALIMENTOS LTDA,02,Ativa,2004-11-26,1994-05-16,1994,5611201,Restaurantes e similares,,IGUATEMI,777,VILA BRANDINA,13092500,6291,CAMPINAS,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"90000,00",03,Empresa de pequeno porte,Não MEI,Sim
00004664000129,00004664,Matriz,,LANCHONETE CONDOMINIUM AEROPORTO LTDA,02,Ativa,2005-11-03,1994-05-16,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,VIAZA,374,JD AEROPORTO,04633050,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"0,00",01,Microempresa,Não MEI,Não
00004897000121,00004897,Matriz,,MAURO AP.GABRIEL,02,Ativa,2005-11-03,1994-05-16,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,CUBA,218,VILA DIAS,13802085,6717,MOGI MIRIM,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
00004973000107,00004973,Matriz,BAR SANTO ANTONIO,JOSE WILSON POLLO,02,Ativa,2001-06-16,1994-05-16,1994,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",,CAP JOSE ESTEVES JUNIOR,150,JDM ESPLANADA,14350000,6119,ALTINOPOLIS,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
00005003000118,00005003,Matriz,VILMA'S BAR,VILMA'S BAR E LANCHONETE LTDA,02,Ativa,2025-01-23,1994-05-16,1994,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",5611203,CLARISSA,437,JD ELIANA,04851070,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"3000,00",01,Microempresa,Não MEI,Sim
00005032000180,00005032,Matriz,,E R DE OLIVEIRA ARARAQUARA,02,Ativa,2004-03-26,1994-05-16,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,ALFREDO MICELLI,20,CONDOMINIO SATELITE,14808579,6163,ARARAQUARA,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
00005099000114,00005099,Matriz,PIZZARIA DO JOAO,SOLANGE DELFINA DE JESUS LOPES,02,Ativa,2005-11-03,1994-05-17,1994,5611201,Restaurantes e similares,"5611204,5611203",ORDALIA BENEDITA DE SOUZA,16,JARDIM JOSANE,18087320,7145,SOROCABA,SP,SEM MOTIVO,2135,Empresário (Individual),"5000,00",01,Microempresa,Não MEI,Sim
00005370000111,00005370,Matriz,RESTAURANTE O CASARAO,RESTAURANTE O CASARAO DE BARRETOS LTDA,02,Ativa,2005-11-03,1994-05-17,1994,5611201,Restaurantes e similares,"1099604,4789099",6,855,CENTRO,14780010,6209,BARRETOS,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"3200,00",01,Microempresa,Não MEI,Sim
00005414000103,00005414,Matriz,,RECANTO DO GREGO LANCHONETE LTDA,02,Ativa,2005-11-03,1994-05-17,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,ALEXIOS JAFET,1109,JARAGUA,05187010,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"0,00",01,Microempresa,Não MEI,Sim
00005545000190,00005545,Matriz,LANCHONETE LUGAR CERTO,BAR E LANCHONETE LUGAR CERTO LTDA,02,Ativa,2005-11-03,1994-05-17,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,VOL DE SAO PAULO,2630,CENTRO,15015200,7097,SAO JOSE DO RIO PRETO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"0,00",01,Microempresa,Não MEI,Não
00005858000149,00005858,Matriz,ITABERABA POINT,ITABERABA POINT SUPER LANCHES LTDA,02,Ativa,2005-11-03,1994-05-17,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares","4763601,4729602,4789001",ITABERABA,5015,ITABERABA,02739000,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"591000,00",05,Demais,Não MEI,Não
00006354000143,00006354,Matriz,,PASTELARIA LUNI LTDA,02,Ativa,2005-08-27,1994-05-19,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,DA BANDEIRA,104,CENTRO,13300159,6579,ITU,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"11000,00",03,Empresa de pequeno porte,Não MEI,Sim
00006453000125,00006453,Matriz,,RIPA NA BRASA RESTAURANTE LTDA.,02,Ativa,2005-11-03,1994-05-18,1994,5611201,Restaurantes e similares,5223100,TIJUCO PRETO,517,TATUAPE,03316000,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"62200,00",03,Empresa de pequeno porte,Não MEI,Não
00006473000104,00006473,Matriz,,LUIZ ANTONIO FERREIRA DA SILVA ITAPOLIS,02,Ativa,2004-03-26,1994-05-18,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,DOUTOR ARNALDO MARADEI,238,JARDIM REDENCAO,14900000,6555,ITAPOLIS,SP,SEM MOTIVO,2135,Empresário (Individual),"3000,00",01,Microempresa,MEI,Sim
00006513000100,00006513,Matriz,BAITA - KAO,NADIA CRISTIANE LEMOS DE ARAUJO,02,Ativa,2005-04-02,1994-05-18,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",4723700,FLORIANO PEIXOTO,965,CENTRO,16900040,6141,ANDRADINA,SP,SEM MOTIVO,2135,Empresário (Individual),"30000,00",01,Microempresa,Não MEI,Sim
00006598000126,00006598,Matriz,KIOSKI LANCHES,KIOSKI DE MATAO LANCHES LTDA,02,Ativa,2005-11-03,1994-05-19,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,PADRE NELSON,1161,NOVA MATAO,15990510,6687,MATAO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"10000,00",01,Microempresa,Não MEI,Sim
00007016000126,00007016,Matriz,RESTAURANTE PRAIANO O REI DO ABADEJO,RESTAURANTE E APERITIVOS RECANTO DO JUCA LTDA,02,Ativa,2004-09-11,1994-05-24,1994,5611201,Restaurantes e similares,,CAMINHO DO MAR (SP-148),331,RIO GRANDE,09832140,7075,SAO BERNARDO DO CAMPO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"10000,00",01,Microempresa,Não MEI,Sim
00007066000103,00007066,Matriz,PASTELARIA DO CELIAO,CELIO GIMENES,02,Ativa,2005-11-03,1994-05-19,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,DOUTOR DEMETRIO CHAGURI,1078,QUINTINO FACCI II,14070000,6969,RIBEIRAO PRETO,SP,SEM MOTIVO,2135,Empresário (Individual),"15000,00",01,Microempresa,Não MEI,Sim
00007101000194,00007101,Matriz,CANTINA 13,CANTINA 13 LTDA,02,Ativa,2005-11-03,1994-05-17,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,DOUTOR SYLVIO DE CAMPOS,225,VILA PERUS,05204000,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"10000,00",01,Microempresa,Não MEI,Sim
00007129000121,00007129,Matriz,,ROGERIO CARLOS CICILLINI RIBEIRAO PRETO,02,Ativa,2005-11-03,1994-05-20,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,ANIVALDO PONTON,473,SUMAREZINHO,14055410,6969,RIBEIRAO PRETO,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
00007139000167,00007139,Matriz,,BRUNO VILELA ESPERANCA & CIA LTDA,02,Ativa,2019-10-03,1994-05-19,1994,4721102,Padaria e confeitaria com predominância de revenda,,DOS LEMES,934,CENTRO,13630137,6887,PIRASSUNUNGA,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"0,00",01,Microempresa,Não MEI,Não
00007403000162,00007403,Matriz,,PEDRO ROGERIO BELTRAME BRAGANCA,02,Ativa,2003-04-18,1994-05-20,1994,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",5611203,ANTONIO GIORDANO BUZATO,11,PARQUE BRASIL,12900005,6251,BRAGANCA PAULISTA,SP,SEM MOTIVO,2135,Empresário (Individual),"4000,00",01,Microempresa,MEI,Sim
00007746000127,00007746,Matriz,,BRASILIA PAES E DOCES LTDA,02,Ativa,2005-06-04,1994-05-19,1994,4721102,Padaria e confeitaria com predominância de revenda,,MONTES CLAROS,425,CIDADE PARQUE BRASILIA,07243060,6477,GUARULHOS,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"60000,00",01,Microempresa,Não MEI,Sim
00007956000115,00007956,Matriz,,J. G. R. DA SILVA FRANCA,02,Ativa,2005-11-03,1994-05-23,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,DOM PEDRO I,903,JD PLANALTO,14409170,6425,FRANCA,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
00008203000124,00008203,Matriz,SR. YAKI,VANESSA SIQUEIRA ANDRADE LTDA,02,Ativa,2004-02-20,1994-05-23,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,LELIO PIZZA,1450,VILA LAHOZ,17600710,7201,TUPA,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"30000,00",01,Microempresa,Não MEI,Sim
00008203000205,00008203,Filial,SR. YAKI,VANESSA SIQUEIRA ANDRADE LTDA,02,Ativa,2026-05-04,2026-05-04,2026,5611203,"Lanchonetes, casas de chá, de sucos e similares",,DAS ESMERALDAS,701,JARDIM TANGARA,17516000,6681,MARILIA,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"30000,00",01,Microempresa,Não MEI,Sim
00008277000160,00008277,Matriz,,LANCHONETE NAZAREZINHO LTDA,02,Ativa,2004-02-20,1994-05-26,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,RIO DE JANEIRO,573,OSWALDO CRUZ,09540400,7077,SAO CAETANO DO SUL,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"0,00",01,Microempresa,Não MEI,Sim
00008368000104,00008368,Matriz,RESTAURANTE PARANA,JOSE CARLOS DE OLIVEIRA LIMA CAPAO BONITO,02,Ativa,2005-11-03,1994-05-23,1994,5611201,Restaurantes e similares,,QUINTINO BOCAIUVA,327,CENTRO,18300390,6305,CAPAO BONITO,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
00008527000162,00008527,Matriz,,J REIS & MARQUES LTDA,02,Ativa,2005-11-03,1994-05-24,1994,5611201,Restaurantes e similares,,SAO JERONIMO,112,JARDIM SAO JUDAS TADEU,12228350,7099,SAO JOSE DOS CAMPOS,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"10000,00",01,Microempresa,Não MEI,Sim
00008633000146,00008633,Matriz,PALACE IGARACU,PALACE IGARACU LTDA,02,Ativa,2005-11-03,1994-05-24,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,SALVADOR TOME,SN,CONJ RES SEGURA GAR,17350000,6501,IGARACU DO TIETE,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"2000,00",01,Microempresa,Não MEI,Não
00008694000103,00008694,Matriz,LANCHONETE E RESTAURANTE DA CHICA,FRANCISCA DOS SANTOS FIGUEIRA,02,Ativa,2004-08-28,1994-05-24,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,TREIS IRMAS,SN,LIMOEIRO,19590000,7159,TACIBA,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
00008721000148,00008721,Matriz,RESKILO,JOVIMA VIEIRA REGISTRO,02,Ativa,2005-11-03,1994-05-25,1994,5611201,Restaurantes e similares,,PREF. JONAS BANKS LEITE,456,CENTRO,11900000,6953,REGISTRO,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
00008874000195,00008874,Matriz,,MAURO MELO DA SILVA,02,Ativa,2005-01-15,1994-05-24,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,JOSE DE MOURA CANDELARIA,308,VILA INDUSTRIAL,12220400,7099,SAO JOSE DOS CAMPOS,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
00009115000147,00009115,Matriz,,PANIFICADORA E CONFEITARIA TAMIRIS LTDA,02,Ativa,2005-11-03,1994-05-24,1994,4721102,Padaria e confeitaria com predominância de revenda,,DOM JOAO NERY,216,ITAIM PAULISTA,08110000,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"10000,00",01,Microempresa,Não MEI,Sim
00009143000164,00009143,Matriz,,JOSE CARLOS MENDONCA-MERCEARIA,02,Ativa,2005-08-27,1994-05-24,1994,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",,FABIANO PEREIRA SILVA,472,VILA FABIANO,18913052,7029,SANTA CRUZ DO RIO PARDO,SP,SEM MOTIVO,2135,Empresário (Individual),"1000,00",01,Microempresa,MEI,Sim
00009148000197,00009148,Matriz,,00.009.148 GILSON NATAL NARDO,02,Ativa,2005-11-03,1994-05-24,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,DOUTOR ERNESTO SPROGIS,1170,JARDIM SANTA ROSA,13385086,6769,NOVA ODESSA,SP,SEM MOTIVO,2135,Empresário (Individual),"45000,00",01,Microempresa,MEI,Sim
00009170000137,00009170,Matriz,,PAES E DOCES PIO LTDA,02,Ativa,2005-11-03,1994-05-24,1994,4721102,Padaria e confeitaria com predominância de revenda,,ALTO ALEGRE,003,PARAISO,07750020,6285,CAJAMAR,SP,SEM MOTIVO,2070,Sociedade Empresária em Nome Coletivo,"0,00",01,Microempresa,Não MEI,Não
00009332000137,00009332,Matriz,,SORVETERIA E CONFEITARIA DOM BOSCO LTDA,02,Ativa,2004-05-22,1966-09-09,1966,5611203,"Lanchonetes, casas de chá, de sucos e similares",,SHCS CL QUADRA 107 BLOCO D,S/N,ASA SUL,70346540,9701,BRASILIA,DF,SEM MOTIVO,2062,Sociedade Empresária Limitada,"2700,00",03,Empresa de pequeno porte,Não MEI,Sim
00009350000119,00009350,Matriz,,MARIA APARECIDA LIMA DE OLIVEIRA BAR,02,Ativa,2005-11-03,1994-05-25,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,PRESIDENTE COSTA E SILVA,778,JD. HELENA MARIA,06253000,6789,OSASCO,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
00009493000120,00009493,Matriz,,CAFE VITRINE LTDA,02,Ativa,2005-11-03,1994-05-25,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,AUGUSTA,2530,CERQUEIRA CESAR,01412100,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"10000,00",01,Microempresa,Não MEI,Sim
00009629000100,00009629,Matriz,,PAES E DOCES REZENDE LTDA,02,Ativa,2005-11-03,1994-05-25,1994,4721102,Padaria e confeitaria com predominância de revenda,,DE PARELHEIROS,176,JARDIM CASA GRANDE,04865005,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"10000,00",01,Microempresa,Não MEI,Sim
00009738000110,00009738,Matriz,MARQUES BAR,CARLOS ALBERTO MARQUES,02,Ativa,2006-12-01,1981-11-26,1981,5611203,"Lanchonetes, casas de chá, de sucos e similares",,5,540,CENTRO,77660000,9463,MIRANORTE,TO,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
00009818000175,00009818,Matriz,NA ROCA PESQUEIRO E RESTAURANTE,RESTAURANTE RANCHAO DA LAGOA LTDA,02,Ativa,2005-11-03,1994-05-26,1994,5611201,Restaurantes e similares,9319199,JOAO RODRIGUES DE MORAES,2235,DA LAGOA,06860400,6545,ITAPECERICA DA SERRA,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"70000,00",01,Microempresa,Não MEI,Sim
00009823000188,00009823,Matriz,,BAR E LANCHES KARDO LTDA,02,Ativa,2005-11-03,1994-05-26,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,ENG.MARIANO J.FERRAZ,48,IMIRIM,02461030,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"0,00",01,Microempresa,Não MEI,Sim
00010041000169,00010041,Matriz,,VALDIVINO FERREIRA NARCISO,02,Ativa,2005-11-03,1981-11-26,1981,5611203,"Lanchonetes, casas de chá, de sucos e similares",,68,316,SET CENTRAL,74055100,9373,GOIANIA,GO,SEM MOTIVO,2135,Empresário (Individual),"50000,00",01,Microempresa,Não MEI,Sim
